"ID","MacAddress","Longitude","Latitude","RSSI1","MNC1","IMSI1","CELLID1","RSSI2","MNC2","IMSI2","CELLID2","CreateTime","IsCheckPoint","IsUsed","Speed"
59512535,"001970C14035",120.618527,24.143759,-63,92,466924251104873,106603553,-150,0,NA,21690747,2016-08-01 00:00:00,0,0,NA
59512536,"001970C11733",121.447935,25.071413,-61,92,466924251101843,28570135,NA,NA,NA,NA,2016-08-01 00:00:01,0,0,94
59512537,"001970C11D25",0,0,-75,1,466011501246395,181827085,NA,NA,NA,NA,2016-08-01 00:00:01,0,0,0
59512538,"001970C1170F",120.919453,24.693612,-45,92,466924251101838,106006541,NA,NA,NA,NA,2016-08-01 00:00:01,0,0,96
59512539,"001970A2F198",120.493055,23.889108,-44,92,466924100841077,131811607,NA,NA,NA,NA,2016-08-01 00:00:01,0,0,96
59512540,"001970C1187D",121.615663,25.032787,-70,92,466924251106520,54207009,NA,NA,NA,NA,2016-08-01 00:00:03,0,0,74
59512541,"001970C1190B",120.212158,22.99736,-42,92,466924251106564,157378071,NA,NA,NA,NA,2016-08-01 00:00:03,1,0,23
59512542,"001970C13FB5",120.435564,23.602243,-68,1,466011500798687,47498080,-150,0,NA,47483712,2016-08-01 00:00:03,0,0,NA
59512543,"001970C1410D",120.35465,23.409877,-63,92,466924251104912,33574984,-150,0,NA,28563381,2016-08-01 00:00:03,0,0,NA
59512544,"001970C14073",120.830223,24.539005,-61,92,466924251101835,105910551,-150,0,NA,23877,2016-08-01 00:00:03,0,0,NA
59512545,"001970C141CB",120.513326,24.009642,-73,1,466011500790697,0,-150,0,NA,14672831,2016-08-01 00:00:03,0,0,NA
59512546,"001970C11C85",121.20173,24.959273,-57,1,466011501246517,53929505,NA,NA,NA,NA,2016-08-01 00:00:04,0,0,96
59512547,"001970C141C9",120.304031,22.637622,-150,0,NA,27500142,-42,1,466011500790696,184561183,2016-08-01 00:00:04,1,0,NA
59512549,"001970C13F89",121.021638,24.844134,-70,1,466011500798677,14410078,-150,0,NA,13570236,2016-08-01 00:00:04,0,0,NA
59512552,"001970C1171B",120.717308,24.333192,-60,92,466924251101841,105437463,NA,NA,NA,NA,2016-08-01 00:00:05,0,0,94
59512553,"001970C14077",120.279967,22.641618,-150,0,NA,206595332,-62,1,466011500798646,184323104,2016-08-01 00:00:05,0,0,NA
59512554,"001970C141EF",120.276051,22.646875,-72,92,466924251104982,0,-150,0,NA,29717214,2016-08-01 00:00:05,0,0,NA
59512555,"001970C11CCB",121.465895,25.014985,-47,1,466011501246332,51585047,NA,NA,NA,NA,2016-08-01 00:00:05,0,0,0
59512556,"001970A2F16A",121.41957,25.063895,-68,92,466924100841076,28746529,NA,NA,NA,NA,2016-08-01 00:00:05,0,0,95
59512557,"001970C118E5",121.77138,24.740548,-67,92,466924251106544,208571169,NA,NA,NA,NA,2016-08-01 00:00:05,0,0,0
59512558,"001970C140D9",120.204945,23.033774,-47,1,466011501250451,47699856,-150,0,NA,28526705,2016-08-01 00:00:05,0,0,NA
59512559,"001970C1425D",120.622337,24.179136,-65,1,466011500791406,0,-150,0,NA,21438223,2016-08-01 00:00:05,0,0,NA
59512560,"001970A2F14E",0,0,-46,1,466011500790704,57419276,NA,NA,NA,NA,2016-08-01 00:00:05,0,0,0
59512561,"001970C141B3",0,0,-74,92,466924251104972,15530735,0,0,NA,0,2016-08-01 00:00:05,0,0,NA
59512562,"001970C1406D",120.468006,23.744357,-75,92,466924251104924,33106245,-150,0,NA,33141288,2016-08-01 00:00:05,0,0,NA
59512564,"001970C14269",120.695223,24.289527,-150,0,NA,39411717,-53,1,466011500790718,130696991,2016-08-01 00:00:06,0,0,NA
59512565,"001970C1426B",120.334736,22.742659,-150,0,NA,28222813,-48,1,466011500790719,184548108,2016-08-01 00:00:06,0,0,NA
59512566,"001970C1426D",0,0,-150,0,NA,45980696,-44,1,466011500790720,186976288,2016-08-01 00:00:06,0,0,NA
59512567,"001970C1194B",120.431558,23.587793,-55,92,466924251106588,157518359,NA,NA,NA,NA,2016-08-01 00:00:06,0,0,88
59512568,"001970C15905",120.767873,24.405418,-68,97,466977100566679,93953391,NA,NA,NA,NA,2016-08-01 00:00:07,0,0,90
59512569,"001970A2F19E",120.276823,22.646882,-51,92,466924100841073,183420193,NA,NA,NA,NA,2016-08-01 00:00:07,0,0,0
59512570,"001970C1408F",121.205199,24.957458,-60,92,466924251104888,81192737,-150,0,NA,21106083,2016-08-01 00:00:07,0,0,NA
59512571,"001970C141EB",120.236377,23.201719,-69,92,466924251104980,40152808,-150,0,NA,47338237,2016-08-01 00:00:07,0,0,NA
59512572,"001970C118CF",121.770478,24.703498,-50,92,466924251106521,208372237,NA,NA,NA,NA,2016-08-01 00:00:07,0,0,37
59512573,"001970C1188B",121.780902,24.813693,-57,92,466924251106524,208567053,NA,NA,NA,NA,2016-08-01 00:00:07,0,0,86
59512574,"001970C11CDF",121.440825,25.060935,-62,1,466011501246342,51372310,NA,NA,NA,NA,2016-08-01 00:00:07,0,0,23
59512575,"001970C14119",120.248977,23.001248,-65,1,466011500791407,47815980,-150,0,NA,26601439,2016-08-01 00:00:07,0,0,NA
59512576,"001970C11867",0,0,-61,92,466924251106505,29363223,NA,NA,NA,NA,2016-08-01 00:00:08,0,0,0
59512579,"001970C13F9B",120.785279,24.497609,-150,0,NA,37130,-37,1,466011500798682,128027915,2016-08-01 00:00:08,0,0,NA
59512580,"001970C141BD",120.497413,23.902501,-68,92,466924251104977,0,-150,0,NA,28615951,2016-08-01 00:00:08,0,0,NA
59512581,"001970C11789",121.502252,25.051167,-58,92,466924100841044,54534946,NA,NA,NA,NA,2016-08-01 00:00:08,0,0,58
59512582,"001970C140B7",120.477501,23.786694,-60,92,466924251104905,33106261,-150,0,NA,21087042,2016-08-01 00:00:08,0,0,NA
59512583,"001970C14031",120.624658,24.178363,-51,92,466924251104934,106051615,-150,0,NA,21543206,2016-08-01 00:00:08,1,0,NA
59512584,"001970C11911",120.377122,23.466595,-51,92,466924251106567,157519393,NA,NA,NA,NA,2016-08-01 00:00:09,0,0,88
59512585,"001970C1402F",121.518076,25.054929,-68,92,466924251104923,15592642,-150,0,NA,13610035,2016-08-01 00:00:09,1,0,NA
59512586,"001970C141B5",120.276967,22.646994,-69,92,466924251104973,46209365,-150,0,NA,28762551,2016-08-01 00:00:09,0,0,NA
59512587,"001970C1177D",121.416518,25.066265,-74,92,466924100841035,30236439,NA,NA,NA,NA,2016-08-01 00:00:09,0,0,42
59512588,"001970C140FD",121.54224,24.979545,-64,92,466924251104915,17300386,-150,0,NA,17315698,2016-08-01 00:00:09,0,0,NA
59512589,"001970C14005",120.693073,24.273401,-67,1,466011500798704,0,-150,0,NA,21066363,2016-08-01 00:00:09,0,0,NA
59512590,"001970C14187",0,0,-150,0,NA,40124655,-44,1,466011500791239,130561055,2016-08-01 00:00:09,0,0,NA
59512591,"001970C1425B",121.27725,24.906002,-47,1,466011500798649,0,-150,0,NA,16457673,2016-08-01 00:00:09,0,0,NA
59512593,"001970C11947",120.756328,24.390088,-65,92,466924251106586,105929485,NA,NA,NA,NA,2016-08-01 00:00:10,0,0,75
59512594,"001970C1408B",120.46718,23.685389,-64,92,466924251104906,33106282,-150,0,NA,25051,2016-08-01 00:00:10,0,0,NA
59512595,"001970C14103",120.212539,22.999187,-50,92,466924251104879,157378061,-150,0,NA,40295420,2016-08-01 00:00:10,1,0,NA
59512596,"001970A2F16C",120.326058,23.350065,-63,92,466924100841086,157887255,NA,NA,NA,NA,2016-08-01 00:00:10,0,0,96
59512597,"001970C14021",120.693079,24.271369,-64,92,466924251104921,106056725,-150,0,NA,22123008,2016-08-01 00:00:10,0,0,NA
59512598,"001970C1408D",120.253344,23.065603,-65,92,466924251104937,157852695,-150,0,NA,40169577,2016-08-01 00:00:10,0,0,NA
59512599,"001970C11CCF",121.070605,24.880215,-67,1,466011501246334,57420064,NA,NA,NA,NA,2016-08-01 00:00:10,0,0,80
59512600,"001970A2F156",121.493925,25.056513,-44,92,466924100841084,30370573,NA,NA,NA,NA,2016-08-01 00:00:10,0,0,23
59512601,"001970C14267",0,0,-150,0,NA,15498805,-47,1,466011500790717,53790485,2016-08-01 00:00:11,0,0,NA
59512602,"001970C11D19",121.147792,24.899385,-57,1,466011501246393,53790231,NA,NA,NA,NA,2016-08-01 00:00:11,0,0,91
59512604,"001970C158E9",121.07095,24.880357,-62,97,466977100566669,77576560,NA,NA,NA,NA,2016-08-01 00:00:11,0,0,70
59512605,"001970C11709",120.31364,22.815102,-70,97,466977100566691,209925607,NA,NA,NA,NA,2016-08-01 00:00:11,0,0,95
59512606,"001970C11695",121.57837,25.055383,-45,97,466977100566649,26912623,NA,NA,NA,NA,2016-08-01 00:00:11,1,0,72
59512607,"001970C11CDD",120.931232,24.719218,-74,1,466011501246341,56331552,NA,NA,NA,NA,2016-08-01 00:00:11,0,0,84
59512608,"001970C13FD9",121.516214,25.048893,-63,1,466011500798693,0,-150,0,NA,14695426,2016-08-01 00:00:11,1,0,NA
59512609,"001970C14001",120.621787,24.163472,-71,1,466011500798702,0,-150,0,NA,31118829,2016-08-01 00:00:11,0,0,NA
